1|Timo|Kekkila|Talvitie 4|11600|Vantaa|04876545416|89|
2|Timo|Kekkila|Talvitie 4|11600|Vantaa|04482696466|81|
3|Timo|Kekkila|Talvitie 4|11600|Vantaa|04835484770|66|
4|Timo|Kekkila|Talvitie 4|11600|Vantaa|04658112133|77|
5|Timo|Kekkila|Talvitie 4|11600|Vantaa|04425041516|31|
6|Timo|Kekkila|Talvitie 4|11600|Vantaa|04098539754|21|
7|Timo|Kekkila|Talvitie 4|11600|Vantaa|04782062735|86|
8|Timo|Kekkila|Talvitie 4|11600|Vantaa|04568754541|72|
9|Timo|Kekkila|Talvitie 4|11600|Vantaa|04962851542|40|
10|Timo|Kekkila|Talvitie 4|11600|Vantaa|04445847736|78|
11|Timo|Kekkila|Talvitie 4|11600|Vantaa|04083884575|31|
12|Timo|Kekkila|Talvitie 4|11600|Vantaa|04662558329|50|
13|Timo|Kekkila|Talvitie 4|11600|Vantaa|04317247235|69|
14|Timo|Kekkila|Talvitie 4|11600|Vantaa|04212404416|77|
15|Timo|Kekkila|Talvitie 4|11600|Vantaa|04558220852|60|
16|Timo|Kekkila|Talvitie 4|11600|Vantaa|04901164742|33|
17|Timo|Kekkila|Talvitie 4|11600|Vantaa|04532390143|46|
18|Timo|Kekkila|Talvitie 4|11600|Vantaa|04853916322|37|
19|Timo|Kekkila|Talvitie 4|11600|Vantaa|04535643259|38|
20|Timo|Kekkila|Talvitie 4|11600|Vantaa|04839030454|25|
21|Timo|Kekkila|Talvitie 4|11600|Vantaa|05027333678|94|
22|Timo|Kekkila|Talvitie 4|11600|Vantaa|04034389504|43|
